port_name,closest_name,closest_distance
BOTAS DORTYOL OIL TERMINAL,DELTA TERMINAL,3497.158779078096
BRASS OIL TERMINAL,PENNINGTON OIL TERMINAL,76693.76876019458
BRATTHOLMEN,BERGEN,9944.31586412687
BREDVIK,SORVAER,7847.2491608230475
BREMERHAVEN,NORDENHAM,8639.472008728337
BREMERTON,EAST BREMERTON,2500.8709793713856
BRIDGEPORT,SOUTHPORT,9156.621429849
BRIDGWATER,WATCHET HARBOR,23901.662572910296
BRIDPORT HARBOUR,WEYMOUTH HARBOUR,24934.923494247327
BRINDISI,MONOPOLI,66491.97039258503
BRISTOL,TIVERTON,5567.526396588674
BRISTOL,BURLINGTON,2333.4134906009735
BRISTOL,AVONMOUTH,6858.351066666033
BROADFORD BAY,KYLEAKIN,9209.417773479656
BRONTE,OAKVILLE,5481.523203915693
BROOKLIN,BUCKS HARBOR,14051.651213762252
BRSICA,ZALIV RASA,2269.2556005932365
BRUCE MINES,HILTON,8533.87788726075
BRUNSBUTTEL ELBAHAFEN,BRUNSBUTTEL CANAL TERMINALS,2151.1652079430182
BRUXELLES,ANTWERPEN,39074.964029291914
BUCKIE HARBOR,LOSSIEMOUTH,19177.056072885516
BUCKS HARBOR,CASTINE,5559.7550588736985
BUCKSPORT,SANDYPOINT,6155.495914700257
BUENAVENTURA,TUMACO,296234.3470007595
BUENOS AIRES,COLONIA,49595.59537093292
BUFFALO,TONAWANDA,16679.26517662229
BUFFINGTON,INDIANA HARBOR,3956.790284629444
BUGO,VILLANUEVA,7636.120110398533
BUKHTA GAYDAMAK,NAKHODKA,17914.371835332335
BUKHTA NAGAYEVA (MAGADAN),OKHOTSK IY REYD,424982.08219213766
BUKHTA VANINO,SOVETSKAYA GAVAN,12972.687673973007
BULA,WAHAI,116497.32508005091
BULLEN BAAI,SINT MICHELSBAAI,5847.461425290463
BUNBURY,FREMANTLE,141269.71729809814
BUR SAFAGA,EL GHARDAQA,54650.34210331814
BURGAS,VARNA,87245.69595825227
BURGEO,ST GEORGE'S,113020.19040528523
BURGHEAD,LOSSIEMOUTH,13003.558423418168
BURLINGTON,BRISTOL,2333.4134906009735
BURNETT INLET,UNION BAY,36816.74944526789
BURNIE,DEVONPORT,37922.892932900235
BUTEDALE,KEMANO BAY,50735.70899832943
BUTINGE OIL TERMINAL,KLAIPEDA,36714.50696252704
BYNG INLET,KEY HARBOUR,19237.884561943763
CABANAS,MARIEL,22255.752252251714
CABEDELO,RECIFE,120517.35948544214
CABINDA,FUTILA TERMINAL,9448.072812755014
CAERNARVON,HOLYHEAD,30643.274221133004
CAGAYAN DE ORO,BUGO,9349.758518556479
CAIRNS,MOURILYAN HARBOUR,84585.77695435578
CALAPAN,BATANGAS CITY,39768.057543626506
CALCITE,ROGERS CITY,4528.062138115315
CALCUTTA,HALDIA PORT,64642.24385497618
CALETA CLARENCIA,PUERTO SARA,30405.76164751214
CALETA PATILLOS,IQUIQUE,59405.593527156605
CALUMET HARBOR,INDIANA HARBOR,10139.947835066358
CALVI,L'ILE ROUSSE,16737.017463124095
CAM PHA,HON GAI,32493.830553815722
CAMAS,WASHOUGAL,3891.1120856720736
CAMBRIDGE BAY,LADY FRANKLIN POINT,336892.3310778828
CAMDEN,PHILADELPHIA,0.0
CAMDEN,CAMDEN,0.0
CAMOCIM,TUTOIA,161556.29121325054
CAMPECHE,CAYO ARCAS TERMINAL,153843.05814257538
CANAPORT (ST. JOHN),ST JOHN,9066.75370272703
CANSO,WHITEHAVEN HARBOR,18148.751741331896
CANTON ISLAND,FUNAFUTI ATOLL,1193120.6168891725
CAP HAITIEN,PEPILLO SALCEDO,47679.07970314187
CAP LOPEZ,PORT GENTIL,11866.104802935442
CAPE CHARLES,YORKTOWN,42940.76391871009
CAPE CUVIER,USELESS LOOP,207570.89302896065
CAPE FLATTERY HARBOR,CAIRNS,223537.6746529545
CAPE TOWN,SIMONSTOWN,29691.680671807022
CARAQUET,SHIPPEGAN,18301.425409249994
CARBONEAR BAY,HARBOR GRACE,5559.755058874389
CARDINAL,LOWER LAKES TERMINAL,8614.260577343632
CARILLON,ST ANDREWS EAST,2594.8966127970043
CARIPITO,CARUPANO,65586.93242647797
CARLOFORTE,PORTO VESME,9083.58689447681
CARPINTERIA,SANTA BARBARA,15734.18582659734
CARTAGENA,EL BOSQUE,1853.288751325241
CARTERET,CHROME,1853.1775562244773
CASTINE,BUCKS HARBOR,5559.7550588736985
CASTRIES,GRAND CUL DE SAC BAY,4119.754499430317
CAYO ARCAS TERMINAL,CAMPECHE,153843.05814257538
CAYO MOA GRANDE,BAHIA DE SAGUA DE TANAMO,45119.39656020892
CEIBA TERMINAL,COGO,63759.06068579217
CH'ONGJIN,NAJIN,65481.47692067804
CHALKIS,PORTHMOS EVRIPOU,1451.0698346996128
CHANCAY,BAHIA DE ANCON,19903.808365493882
CHANGZHOU,JIANGYIN,24236.00101377638
CHAOZHOU,DONGSHAN,46550.545628605214
CHARLESTOWN,PAR,4003.1207021758173
CHARLOTTE AMALIE,CRUZ BAY,14194.2785055974
CHATHAM,TODD,8917.276652499351
CHATHAM DOCKS,ISLE OF GRAIN,11042.676818619322
CHATHAM DOCKS,THAMESPORT,11042.676818619322
CHAUMONT,SACKETS HARBOR,13041.091579329024
CHEBOYGAN,MACKINAW CITY,24423.95440216696
CHEMAINUS,CROFTON,9594.65485550035
CHERRY POINT,SEMIAHMOO,13029.712510625188
CHESTER,MARCUS HOOK,6792.871461008118
CHI-LUNG,TAN-SHUI,37320.27796856112
CHIBA KO,KATSUNAN KO,11941.421052720469
CHICAGO,CALUMET HARBOR,18052.7651654128
CHIGNIK,PORT HEIDEN,67413.96220457561
CHINDE,QUELIMANE,86096.49933504612
CHITTAGONG,MONGLA,228505.47197791046
CHIWAN,HAIKOU,27715.790990806898
CHOSHI,KASHIMA KO,26027.395131362424
CHRISTIANSTED,LIMETREE BAY,7678.323477023982
CHURCHILL,THUNDER BAY,1199092.2141692427
CHUTE A BLONDEAU,CARILLON,8000.953148776348
CIENFUEGOS,CASILDA,65534.197691139074
CITY ISLAND,YONKERS,13492.054451669843
CIVITAVECCHIA,FIUMICINO,52530.401340902834
CLARENVILLE,COME BY CHANCE HARBOR,39233.41621026405
